Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Вівчаренко,Єлисей,Ігорович,Ч,18.11.1963,Дизайнер,хутір Коростишів,"сквер Селищний, буд. 617 кв. 08, Скадовськ, 93743",+380 16 204-49-59,zakusylomarta@example.net
Терещенко,Адам,Богданович,Ч,12.11.1955,Мірошник,селище Харцизьк,"сквер Артилерійська, буд. 8 кв. 0, Монастирище, 15218",+380 59 228-51-76,nbezborodko@example.net
Макогон,Ростислав,Михайлович,Ч,13.06.1956,Каскадер,село Білицьке,"провулок Прирейкова, буд. 320, Армянськ, 16688",038 894 74 28,feofanandroshchuk@example.com
Гаєвська,Святослава,Тарасівна,Ж,06.09.1967,Драматург,хутір Коломия,"сквер Басейний 4-й, буд. 9 кв. 65, Сімферополь, 20364",+380 59 481-88-82,dashkevychruslan@example.net
Авдєєнко,Володимира,Андріївна,Ж,27.10.2000,Мірошник,село Барвінкове,"парк Травневий 5-й, буд. 4 кв. 992, Нова Одеса, 10276",+380 15 720-11-53,shtepapavlo@example.com
Стець,Віра,Андріївна,Ж,11.02.1978,Дантист,село Устилуг,"площа Морехідна, буд. 008, Снігурівка, 85455",782 45 57,jiaremchuk@example.com
Авдєєнко,Єва,Андріївна,Ж,25.07.1950,Кінорежисер,місто Марганець,"набережна Михайла Слабченка, буд. 5, Нетішин, 82556",+380 46 308-44-26,fomenkomykyta@example.net
Якименко,Орест,Андрійович,Ч,15.07.1990,Астрофізик,місто Генічеськ,"проспект Камишова, буд. 87, Бучач, 98904",+380 12 296-00-24,ukozachenko@example.com
Тягнибок,Григорій,Анатолійович,Ч,28.03.2000,Дерун,село Глухів,"проспект Совіньйонівський, буд. 83, Вашківці, 39065",312-75-25,avreliiasaula@example.net
Ємельяненко,Федір,Валерійович,Ч,12.10.2004,Шериф,місто Радивилів,"площа Іванова Ігоря, буд. 5, Болград, 11470",016 150-63-15,ymykhaliuk@example.net
Власюк,Валентина,Василівна,Ж,19.10.1958,Зоолог,селище Світловодськ,"провулок Середньофонтанський, буд. 2, Соледар, 01638",+380 11 440 16 27,rkadeniuk@example.org
Устенко,Варфоломій,Ігорович,Ч,18.05.1944,Науковець,хутір Мала Виска,"вулиця Люстдорфський, буд. 7, Новоселиця, 29999",048 619-02-83,ilienkoolha@example.org
Базилевська,Орися,Павлівна,Ж,11.09.1945,Дантист,селище Бровари,"набережна Трамвайна, буд. 596, Скадовськ, 85213",080 460-12-34,eopanasenko@example.org
Романець,Богданна,Сергіївна,Ж,24.01.1975,Круп'є,місто Шостка,"площа 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 727, Вишгород, 41163",094 71 30,izaichenko@example.org
Ткач,Святослав,Богданович,Ч,12.05.2001,Мірошник,місто Радомишль,"набережна Садова 3-тя, буд. 04, Добропілля, 20052",+380 48 103 86 84,marta49@example.net
Козаченко,Юхим,Володимирович,Ч,30.10.1984,Ботанік,село Єнакієве,"проспект Польова, буд. 4 кв. 595, Яворів, 36938",+380 25 691 94 06,dteslia@example.net
Венгринович,Мартин,Васильович,Ч,15.08.1988,Редактор,село Кіцмань,"площа Незамаївська, буд. 719, Жидачів, 15495",+380 58 853 48 37,usykvolodymyra@example.com
Гайдабура,Остап,Михайлович,Ч,13.10.1977,Стиліст,село Львів,"парк Тупиковий, буд. 057 кв. 960, Дніпрорудне, 56520",+380 88 787-37-09,darynakonoplenko@example.net
Атрощенко,Федір,Миколайович,Ч,11.02.1948,Антрополог,селище Українка,"провулок Глухівський, буд. 5, Торецьк, 66088",081 228 30 41,edytaiefymenko@example.org
Сіробаба,Тереза,Анатоліївна,Ж,09.05.1996,Геофізик,село Моспине,"набережна Лінія 43-тя, буд. 712 кв. 44, Тетіїв, 33407",+380 31 882 67 46,ieshchenkovalerii@example.net
Ґалаґан,Пантелеймон,Андрійович,Ч,25.08.1991,Фрілансер,хутір Кременчук,"шосе Альтовий, буд. 16, Біла Церква, 32482",+380 (35) 844-18-60,iryna69@example.net
Джус,Сніжана,Богданівна,Ж,20.12.1998,Юрист,місто Комарно,"сквер Горіхова, буд. 96 кв. 827, Ладижин, 88063",+380 (00) 066-62-47,xhavryshkevych@example.net
Чередник,Теодор,Васильович,Ч,18.01.1978,Археолог,хутір Пологи,"проспект Героїв УПА, буд. 537 кв. 607, Лебедин, 44615",+380 79 303 37 84,ostap94@example.org
Гайворонська,Марʼяна,Ярославівна,Ж,20.11.1972,Локсмайстер,місто Сімферополь,"парк Буджацька, буд. 31 кв. 75, Овруч, 80154",+380 11 825-22-05,makaraverchenko@example.net
Жарко,Данна,Леонідівна,Ж,13.08.1940,Гінеколог,селище Глобине,"проспект Скляний 1-й, буд. 78, Перемишляни, 89661",763-07-42,pustenko@example.org
Засуха,Михайлина,Максимівна,Ж,02.11.1940,Професор,місто Шумськ,"парк Костанді, буд. 34 кв. 5, Решетилівка, 82748",+380 95 451 95 30,leszhaivoron@example.com
Перебийніс,Тимофій,Павлович,Ч,08.04.1938,Складальник,село Білгород-Дністровський,"набережна Дачний 2-й, буд. 52 кв. 70, Мерефа, 09171",+380 72 696-49-93,tsisykleon@example.net
Юрчук,Онисим,Ярославович,Ч,07.12.2005,Слідчий,село Решетилівка,"провулок Чорноморський 12-й, буд. 417, Амвросіївка, 22003",677 50 53,alina34@example.net
Чуйко,Онисим,Максимович,Ч,17.09.1962,Графік,хутір Городенка,"провулок Виноградна, буд. 47 кв. 510, Зіньків, 21431",051 643-49-30,iustymtsiutsiura@example.org
Цісик,Миколай,Дмитрович,Ч,13.09.1982,Сантехнік,селище Алушта,"узвіз Теофіла Фраєрмана, буд. 47, Вільногірськ, 56412",096 639 38 05,nverhun@example.com
Гайворонський,Марко,Богданович,Ч,27.03.1952,Письменник,селище Харків,"площа Ждахи, буд. 09 кв. 45, Лубни, 03787",+380 (76) 111-25-19,kalchenkomyron@example.org
Артеменко,Климент,Романович,Ч,12.07.1978,Диригент,село Суми,"вулиця Якірний, буд. 780, Баранівка, 70436",620-85-75,amaliia08@example.net
Джус,Леон,Анатолійович,Ч,21.09.1967,Співак,селище Чоп,"вулиця Маланова, буд. 24 кв. 523, Дунаївці, 92900",+380 55 426-40-59,babiukmariana@example.net
Вітрук,Оксенія,Павлівна,Ж,20.12.1970,Петрограф,місто Узин,"провулок Сільськогосподарський, буд. 5 кв. 5, Залізне, 93087",053-10-24,shabliiklyment@example.net
Тригуб,Ярина,Іванівна,Ж,27.08.2008,Гірник,місто Переяслав,"проспект Ганса Германа, буд. 517, Могилів-Подільський, 17128",+380 58 327 12 36,kalchenkoboryslav@example.net
Петрик,Аліна,Юріївна,Ж,06.08.1961,Адвокат,село Вугледар,"парк Металістів, буд. 085 кв. 49, Українськ, 85135",296-68-35,androshchukhavrylo@example.net
Вдовиченко,Леонід,Андрійович,Ч,31.12.1959,Слідчий,село Здолбунів,"вулиця Прорізна, буд. 763 кв. 1, Новоселиця, 14636",261-39-50,eibozhenkoiukhym@example.net
Балабан,Святослава,Андріївна,Ж,27.09.2001,Дантист,селище Біла Церква,"провулок Середньофонтанський, буд. 82, Новогродівка, 90738",035 511 35 89,viktoriiavertyporokh@example.com
Перепелиця,Марта,Миколаївна,Ж,07.10.1982,Архітектор,селище Радивилів,"узвіз Флотський 2-й, буд. 03 кв. 43, Лубни, 76072",091 499-81-52,ksmyk@example.org
Ящук,Наталія,Володимирівна,Ж,28.12.1963,Науковець,місто Ясинувата,"набережна Тупиковий, буд. 210, Вараш, 90232",094 630 60 09,eandrusenko@example.net
Алексюк,Богданна,Степанівна,Ж,17.06.1999,Математик,місто Шахтарськ,"шосе Десантний, буд. 3 кв. 2, Здолбунів, 43672",362 71 45,edyta02@example.org
Матвієнко,Борислав,Максимович,Ч,27.07.2008,Фізик,місто Приморськ,"парк Деволанівський узвіз, буд. 67 кв. 42, Часів Яр, 57337",+380 97 253-20-33,liashchenko@example.net
Москаль,Ліза,Василівна,Ж,14.07.2004,Хімік,місто Довжанськ,"сквер Флотська, буд. 983 кв. 643, Підгайці, 57946",017 841-08-99,gdevdiuk@example.net
Кабалюк,Ярослав,Тарасович,Ч,23.05.1977,Мікробіолог,хутір Боярка,"узвіз Дальня, буд. 263, Дубляни, 19711",+380 23 880 59 01,stepanvermenych@example.net
Дробаха,Валентина,Анатоліївна,Ж,14.03.1993,Фрілансер,село Лозова,"вулиця Нечипуренка, буд. 9 кв. 25, Гірське, 42341",053 14 28,volodymyrshtokalo@example.com
Левченко,Камілла,Максимівна,Ж,22.06.1970,Антрополог,хутір Дебальцеве,"набережна Миколи Кравченка, буд. 86, Рожище, 92879",797 86 76,mykytakalenychenko@example.org
Чалий,Пилип,Миколайович,Ч,26.10.1957,Штукатур,селище Бурштин,"вулиця Обсерваторний, буд. 6, Перещепине, 92207",464 00 38,rivanenko@example.org
Колодуб,Миколай,Іванович,Ч,26.08.1960,Підприємець,місто Шаргород,"провулок 9-та Лінія Дачі Ковалевського, буд. 892, Кипуче, 56040",054 718-88-69,danvyshniak@example.com
Заїка,Розалія,Валеріївна,Ж,30.06.2001,Психолог,селище Світловодськ,"сквер Скляна, буд. 7, Ізюм, 15597",+380 (04) 719-39-52,matviienkopetro@example.org
Ткач,Альберт,Миколайович,Ч,28.02.1980,Археолог,місто Вугледар,"узвіз Миколи Бурачека, буд. 363, Березне, 58683",+380 35 153-25-39,kgoliash@example.org
Василечко,Юстина,Григорівна,Ж,20.05.1966,Астронавт,селище Радомишль,"проспект Шухевича Романа, буд. 673, Боково-Хрустальне, 83724",+380 90 120-39-28,olaba@example.org
Базилевич,Віра,Степанівна,Ж,27.02.1964,Редактор,село Мар'їнка,"набережна Золотий берег, буд. 9 кв. 69, Златопіль, 75718",+380 (76) 632-19-29,artemkolisnychenko@example.com
Журавель,Іван,Романович,Ч,22.08.1943,Випробувач,селище Хоростків,"шосе Дзвінка, буд. 90, Феодосія, 67140",+380 57 817 54 79,xaleksiuk@example.com
Венгринович,Ярослав,Петрович,Ч,15.10.1980,Економіст,село Радивилів,"узвіз Василя Кандинського, буд. 9 кв. 8, Сміла, 72969",265 53 78,onufriienkoanita@example.net
Закусило,Орина,Дмитрівна,Ж,13.07.1989,Ветеринар,місто Новомиргород,"сквер Незалежності, буд. 2, Хоростків, 89239",+380 94 059-97-92,martyn00@example.net
Якимчук,Пилип,Володимирович,Ч,09.01.1972,Машиніст,селище Вугледар,"парк Гетьмана Сагайдачного, буд. 6 кв. 6, Нікополь, 73117",337-73-77,gustenko@example.com
